Nome;Idade;Peso (kg);Altura (m)
Clarice Ara£jo;19/08/1979;122.23;1.99
Lav°nia Ribeiro;21/04/1955;110.8;2.04
Sabrina da Cunha;09/10/1930;45.44;1.49
Dra. Milena Barros;15/03/1927;53.63;1.98
Marcos Vinicius Castro;05/11/2023;47.24;1.91
Caroline da Rosa;18/09/2013;149.29;1.98
Ana Luiza Lopes;31/12/1933;145.1;1.76
Vicente Rezende;13/06/1925;130.5;1.47
Pedro Lucas da Costa;19/06/2018;130.34;1.63
Luiz Felipe Rezende;07/11/2002;85.55;1.94
Enzo Gabriel Silveira;16/11/1928;148.72;1.41
Laura Barros;05/09/2019;44.48;1.9
Theo Moraes;29/09/2022;127.67;1.81
Murilo Pereira;01/10/1985;107.28;1.55
Enrico Cardoso;02/11/1954;76.6;2.02
Giovanna Pires;26/07/1999;138.65;1.9
Francisco Gomes;27/11/1904;111.73;2.05
Noah Caldeira;06/02/1906;43.64;1.66
Sra. Let°cia Ara£jo;08/09/1940;57.65;1.58
Luigi Cardoso;15/08/1925;55.24;1.59
Leandro Moreira;23/03/1944;68.77;1.83
Maità Castro;08/09/2017;78.64;1.57
Gustavo Viana;05/03/1981;81.04;1.75
Nicole Silveira;19/12/1991;129.71;1.72
Yuri Pereira;13/01/2002;121.72;1.78
Ian Silveira;11/07/1969;60.32;1.6
Paulo Cardoso;17/08/1953;114.09;1.97
Erick Nunes;16/12/2007;42.91;1.94
Vit¢ria da Luz;03/09/1985;101.62;1.9
Juan Pereira;23/04/1989;83.48;2.09
Ana Beatriz Porto;25/01/2015;46.85;1.71
Vit¢ria Cunha;06/01/1989;135.36;1.82
Augusto Ferreira;20/01/2021;75.66;1.9
Leonardo Moreira;23/12/1935;103.73;1.47
Antìnio Sales;25/01/1911;91.28;1.71
Joana Cavalcanti;03/03/1947;130.06;1.99
Joaquim Gonáalves;10/08/1928;144.43;1.52
Laura Correia;22/12/1908;44.85;1.59
Maria Pinto;14/12/1966;62.4;2.08
Olivia Nogueira;30/08/1959;123.32;1.68
Calebe Ribeiro;24/03/1928;107.43;1.57
Miguel Moreira;06/08/1905;140.96;1.46
Sofia Moraes;18/04/1900;92.39;1.72
Manuela Farias;12/07/2011;125.02;1.41
Kevin Farias;21/12/1916;124.24;2.03
Yuri Costa;01/02/1923;145.32;1.48
Jo∆o Vitor Ribeiro;28/08/1905;46.02;2.04
Heitor Teixeira;20/02/2020;138.56;1.81
Raul Peixoto;19/12/1944;117.3;1.98
Caio Rodrigues;07/09/1903;132.15;1.96
Ana L°via Barbosa;10/07/1968;112.78;1.95
Alexia Ramos;03/10/1944;69.31;1.98
Vitor Souza;27/08/2016;43.66;2.1
Heitor Cardoso;28/09/1990;64.88;1.7
Vitor Hugo Gonáalves;13/02/2018;77.4;2.09
Nathan Cardoso;22/11/1996;147.46;1.49
Pietra Ramos;08/06/1919;44.51;1.99
Leonardo Moura;30/07/2020;117.8;2.07
Camila Cavalcanti;13/02/1921;132.95;1.91
Helena Porto;07/06/1951;40.36;1.5
Enzo Gabriel Silva;03/10/1927;142.8;1.62
Maria Fernanda Pereira;05/05/1900;76.19;2.05
Fernando Peixoto;11/02/1935;42.21;1.46
Francisco Gonáalves;12/04/1913;116.75;1.72
Pietra Carvalho;30/05/1900;72.25;1.41
Davi Lucas Souza;23/12/1971;115.78;1.94
Maria Eduarda Costa;17/12/1981;123.85;1.8
Luiz Henrique Melo;21/02/1991;138.55;1.9
Enrico Martins;23/01/1979;64.72;2
Sofia da Cunha;28/09/1973;94.98;1.86
Miguel Cunha;12/04/1957;45.49;1.51
Jo∆o Vitor Pinto;24/07/1981;134.88;1.42
Dra. B†rbara Ferreira;27/03/1907;140.03;2.03
Gustavo Henrique Lopes;27/03/1911;66.98;1.77
Diego Vieira;19/09/1943;100.82;1.51
Davi Lucas Teixeira;16/07/1996;70.96;2.01
Raul Novaes;16/12/1902;96.96;1.56
Davi Lucas da Costa;28/04/1951;129.68;1.73
Diogo Fogaáa;06/06/1941;129.53;1.83
Enzo Freitas;05/10/1959;108.61;1.61
Mirella Azevedo;01/09/1948;140.26;1.81
Ben°cio da Mata;02/02/1989;145.19;1.66
Srta. Alexia Silveira;03/12/1981;58.78;1.6
Juan Cardoso;19/04/1905;47;1.87
Calebe Silva;20/02/2019;115.12;1.48
Amanda da Cunha;06/04/2003;86.36;1.99
Bianca Monteiro;07/12/1911;81.52;1.51
Jo∆o Pedro Carvalho;12/11/1962;106.92;2.07
La°s da Cunha;25/05/1924;118.12;1.53
L°via Rezende;10/03/2024;65.65;1.87
Laura Barros;05/12/1906;134.97;2.09
Sra. Maria Eduarda Freitas;05/03/1907;134.68;1.89
Jo∆o Ferreira;13/02/1928;108.05;1.48
Emanuel Cardoso;12/07/1924;85.1;1.69
Larissa Rezende;01/01/1906;77.58;1.97
Diego Barbosa;26/07/1934;69.89;2.03
Gustavo Nascimento;10/04/1983;47.46;1.9
Fernanda Carvalho;23/04/1960;52.84;1.89
Maria Alice Jesus;12/01/1982;120.5;2.01
Agatha da Rocha;14/01/1910;58.12;1.57
Ot†vio Moreira;09/05/2020;103.7;1.85
Lucas Freitas;22/08/2017;42.94;1.72
Samuel Nogueira;11/04/1962;117.37;2.06
Luiz Felipe Almeida;04/12/1999;113.38;1.67
Juan da Rocha;25/08/1904;44.34;2.05
Antìnio Correia;06/04/1969;114.91;1.4
Lav°nia da Conceiá∆o;28/12/2015;54.11;1.62
Erick Teixeira;25/01/1906;50.86;1.55
Calebe Arag∆o;01/08/1985;96.65;1.45
Vicente Moraes;07/12/1925;113.52;1.82
Dra. Pietra Campos;28/09/1971;122.69;1.75
Isis Gomes;04/12/1906;45.99;1.86
Sra. Milena Viana;20/12/2010;59.63;1.65
Brenda Silveira;07/01/1962;121.29;1.64
Dra. Helo°sa Nogueira;04/07/2007;114.36;1.51
Luiz Miguel Silva;22/11/1970;124.21;1.79
Isabella Nascimento;07/10/1923;133.91;1.68
Alexandre Peixoto;27/09/2021;72.06;2.1
Diogo Rodrigues;14/03/2012;82.74;1.81
Emanuella Rodrigues;21/12/1921;91.88;2
Luiza Gonáalves;06/05/2004;62.57;1.8
Pietra Martins;22/10/1946;71.48;1.98
Pietra Silveira;21/08/1969;125.16;1.92
Diego Almeida;08/08/1904;89;1.95
Isis das Neves;06/08/1910;78.17;1.91
Lav°nia Melo;25/02/1969;136.17;1.97
Maria Clara Correia;10/01/1906;141.63;1.54
Mariana da Rocha;09/01/1947;124.41;1.83
Luiz Felipe Rezende;21/08/1970;53.56;1.88
Mirella Cardoso;16/06/1918;138.33;1.8
Emilly da Rosa;25/08/1956;87.54;2.05
Luiza Cavalcanti;29/10/1944;111.06;1.62
Dra. Kamilly Moreira;03/12/1919;57.68;1.96
Bruno Arag∆o;06/06/1928;146.31;1.96
Lorenzo Silva;16/12/1908;119.06;1.45
Enrico Pereira;04/01/1971;85.7;1.84
Maysa Cardoso;17/02/1933;125.74;2.08
Miguel Vieira;05/05/1922;84.44;1.57
Maysa Rocha;05/12/1949;125.03;1.97
Luiz Fernando Oliveira;13/03/1943;80.34;1.8
Sra. Isadora Dias;24/09/1932;70.4;1.79
Srta. Ana Beatriz Castro;10/04/1928;119.71;1.61
L°via Cardoso;02/06/1970;53.04;1.58
Vicente da Mota;01/03/1999;56.24;1.69
Murilo Cardoso;26/03/1922;124.31;2.04
Samuel Pereira;18/11/1987;127.04;1.63
Raquel Vieira;23/11/1964;135.97;1.86
Milena Sales;02/12/2004;122.5;1.53
Thales Ribeiro;05/05/1902;128.51;1.89
Nat†lia Ribeiro;09/06/1928;112.44;1.83
AndrÇ Campos;21/05/1923;117.02;1.77
Diogo Pinto;17/12/1921;68.03;1.69
Theo da Cruz;18/07/1987;121.72;1.74
Luiz Henrique Cardoso;16/06/1918;124.64;1.87
Alana da Paz;10/05/1918;101.13;1.58
Isis Moura;27/06/1941;74.02;1.56
Samuel Castro;20/07/1964;123.74;1.83
Enrico Novaes;09/02/1955;124.39;1.6
Mirella Moura;26/08/1928;132.85;1.8
Thales Lopes;29/03/1982;78.35;1.42
Juliana Moraes;08/10/1989;126.27;1.85
Luigi Sales;28/07/2002;60.33;1.44
Levi Cavalcanti;16/01/1925;119.5;2.04
Ana Clara Azevedo;20/07/1950;92.61;1.76
Yuri Fogaáa;28/10/1963;86.85;1.47
Danilo Ferreira;24/05/1918;74.45;1.62
Nicolas Duarte;04/03/2011;72.11;1.83
Alice Fernandes;03/04/1924;115.65;2.05
Brenda Cavalcanti;17/01/1955;121.67;1.94
Leonardo Moura;23/08/1973;143.23;1.92
Enzo da Cunha;07/10/2022;101.36;1.68
Sra. Raquel Farias;16/12/1928;109.18;1.95
Jo∆o Pedro Gonáalves;09/08/1944;130.53;1.89
Jo∆o Vitor Jesus;20/12/1990;113.76;1.79
Benjamin Martins;29/08/1929;79.42;1.82
Rebeca da Mata;25/05/2012;100.26;1.56
Augusto Mendes;16/06/1904;55.43;1.96
Gabriel Pires;29/03/1923;71.4;1.98
Luna da Costa;20/02/1937;132.66;1.82
Carlos Eduardo Carvalho;03/11/1931;106.09;1.64
Clarice Monteiro;03/10/1935;115.49;1.88
Vinicius Peixoto;09/09/1929;84.49;1.57
Maria Luiza da Cunha;18/12/2018;66.04;1.52
Melissa Nogueira;16/06/2016;127.98;1.54
Davi Luiz Nunes;19/06/1943;60.14;1.99
Sarah Almeida;17/06/1916;149.57;1.9
Ana Clara Fogaáa;16/05/1908;46.14;1.97
Igor Ramos;12/07/1989;122.03;1.66
Luiz Felipe Rocha;26/07/1912;148.99;1.77
Stella Costela;10/08/1982;49.88;1.94
Heitor da Cruz;14/10/1913;106.99;2.02
Mariana Rezende;08/10/1993;147.46;1.89
Igor Ramos;19/03/1919;136.52;1.74
Luiz Fernando Moreira;12/10/2011;113.52;1.61
Ana Sophia Fernandes;17/05/1976;84.87;1.72
Carolina Ara£jo;11/10/1925;125.53;1.7
Emanuel Nogueira;04/08/1912;112.18;1.93
Emilly Lopes;31/05/2014;49.55;1.61
Matheus Carvalho;29/01/1930;91.97;1.42
Olivia Carvalho;15/12/1936;53.65;1.59
Luiz Ot†vio Martins;01/07/1985;134.71;1.89
Isadora Rezende;16/09/1903;128.54;1.95
Dra. L°via Martins;19/03/1956;112.68;1.61
Emanuelly Vieira;25/04/1967;120.15;1.6
Maria Clara Pinto;19/11/1966;144.23;1.76
Brenda da Paz;06/11/1987;83.26;2.04
Bruna Farias;22/03/2014;46.03;2
Bruna Azevedo;05/02/2007;51.47;1.51
Juan Costa;02/02/2010;114.75;1.97
Sophie Nascimento;15/05/2011;134.88;1.66
Pedro Silva;05/07/1958;90.63;1.58
Dra. Alexia da Cruz;24/01/1945;109.22;1.49
Leandro Moura;22/10/1920;47.05;1.8
Luiz Fernando Gomes;10/06/1932;143.77;2.05
Murilo das Neves;11/07/1974;51.99;1.9
Dra. Sofia Castro;26/10/1985;139.12;1.52
La°s Jesus;03/02/1927;46.56;2.06
Isabel Gomes;13/11/2001;48.71;1.73
Davi Luiz Viana;18/08/1927;82.52;2.01
Ot†vio Mendes;25/06/1902;113.28;1.52
Gabriela Viana;19/02/1939;63.35;2.07
Dra. Juliana Farias;16/03/1988;125.12;1.7
Jo∆o Guilherme Oliveira;20/02/1966;94.38;1.53
Pietra da Paz;05/11/1940;41.23;1.96
Ana Fernandes;03/11/1935;96.84;1.44
Melissa Rocha;08/06/2007;108.77;1.78
Gabrielly das Neves;05/01/1926;123.21;1.91
Sra. Clarice Costela;03/07/1997;135.59;2.05
Mariane Souza;11/01/1916;56.43;1.98
Milena Sales;11/06/1964;118.85;2
Bernardo Nunes;03/10/1963;56.09;1.96
Lorenzo Gomes;14/01/2001;131.31;2.01
Sarah Martins;14/08/1997;55.68;1.44
Catarina Costa;13/09/1962;139.3;1.58
Heitor Viana;10/09/2004;139.08;1.54
Sophia da Mota;27/09/1952;102.77;1.46
Al°cia Costela;08/11/1970;93.85;1.66
Catarina Rezende;06/01/1998;62;1.58
Luiz Henrique Santos;03/09/2016;94.75;1.67
Milena Lima;05/09/1971;140.42;1.48
Yasmin Rezende;07/01/1915;93.66;1.62
Nicole Arag∆o;16/02/1900;63.89;1.84
Cau∆ Fernandes;05/05/1998;133.37;2.08
Ana Beatriz Lopes;07/05/1962;43.39;2.05
Rebeca Mendes;18/10/1921;133.77;1.85
Larissa Viana;27/04/2005;113.5;1.98
Raquel Azevedo;11/07/1968;73.54;1.95
Heitor da Paz;14/07/2016;55.83;1.83
Carlos Eduardo Duarte;01/04/1945;149.28;1.82
Isaac Nascimento;04/06/2016;129.07;1.92
Maria Fernanda Lopes;12/04/1933;97.46;2.02
Dra. Fernanda Rodrigues;21/01/1999;148.51;1.94
Isabel Novaes;15/03/1973;123.39;1.88
Sra. Raquel da Mota;06/05/1941;148.57;1.73
Matheus da Conceiá∆o;02/10/2010;52.68;1.97
Beatriz Freitas;18/09/1986;75.62;1.8
Al°cia Rodrigues;14/05/2019;140.31;1.72
Miguel da Mata;27/02/1907;135.27;1.87
Dra. Ana Beatriz Cardoso;11/03/1931;149.85;1.48
Jo∆o Lucas Peixoto;13/05/2010;132.58;1.9
Camila da Conceiá∆o;23/06/1902;138.13;2
Lorena Barbosa;14/10/2003;46.98;2.07
Maria Vit¢ria Rodrigues;26/03/1999;90.72;1.72
Bruna Rezende;24/09/1937;56.33;1.51
Isabelly da Luz;04/09/1990;42.76;1.5
Diego Gonáalves;08/03/1990;54.01;1.56
Vit¢ria Alves;31/12/1927;61.58;1.54
Fernando Nascimento;17/11/2023;143.89;1.86
Leandro Carvalho;23/11/1939;107.71;1.66
Caroline da Conceiá∆o;21/12/1982;83.73;1.86
Felipe Correia;22/06/1935;110.29;1.83
Alexandre Viana;08/01/2017;70.09;1.79
Dra. Nat†lia Arag∆o;10/06/1994;56.19;1.88
Juan Arag∆o;30/09/1914;94.29;1.46
Alexia Pinto;11/09/1910;132.24;1.67
Davi Luiz Azevedo;27/06/1999;148;1.78
Thiago Rodrigues;30/08/1921;46.84;1.97
Vicente Ribeiro;17/12/1982;65.42;2.07
Ana J£lia Vieira;18/08/2006;56.96;1.89
Jo∆o Vitor Moreira;02/01/1913;57.07;1.83
Marcelo da Cunha;13/08/1990;119.96;1.94
Miguel Nascimento;10/12/1926;147.84;1.98
Lav°nia Campos;20/05/2008;70.02;1.71
Stella Martins;27/05/1922;63.87;1.58
Lorenzo Duarte;02/11/1914;135.63;1.75
Nathan Duarte;27/03/1911;68.94;1.95
Kaique Carvalho;06/12/2014;57.49;1.92
Vitor Gabriel Martins;23/10/1958;91.49;1.99
Ben°cio Santos;11/01/1975;42.02;1.68
Rebeca da Rosa;06/09/1912;127.55;1.43
Gabrielly Castro;08/10/1900;94.23;1.85
Paulo da Cunha;21/03/1903;143.13;1.9
Leandro Campos;16/11/1928;133.59;1.84
Isis Gomes;24/06/1999;69.92;1.85
Gabriela das Neves;27/01/1957;114.72;1.44
Vicente Porto;04/02/1981;94.66;2.04
Maria Clara Arag∆o;06/07/1952;117.71;2.03
Emanuella Azevedo;29/04/1928;97.34;1.85
J£lia Ramos;22/11/2021;74;1.69
Leandro da Luz;28/07/1996;49.1;2.06
Gabrielly Mendes;10/10/2020;144.24;1.92
Valentina Souza;14/02/1950;125.5;2.03
Fernando Santos;21/06/1943;125.27;1.84
Alice Souza;24/06/1981;53.63;1.68
Pietro da Conceiá∆o;17/08/1949;118.67;1.92
Murilo Viana;05/04/1918;60.08;1.92
Gustavo Ferreira;08/03/1956;67.16;1.5
Anthony Costela;18/12/1978;92.5;1.92
Theo Viana;12/03/1904;139.41;1.67
Ana Luiza Campos;15/07/1961;51.26;1.72
Gustavo Almeida;18/08/1941;40.32;1.66
Levi Barbosa;27/08/1998;93.95;1.6
Davi Luiz Pires;09/12/2000;119.04;1.47
Vinicius Fogaáa;25/07/2023;143.88;1.67
Larissa Barros;18/03/1943;146.46;1.59
Valentina Almeida;14/03/1995;55.43;1.82
Davi Lucas Cardoso;26/07/1996;83.86;2
Davi Cunha;13/07/1983;110.5;1.46
Giovanna da Mata;20/04/2008;121;1.5
Arthur Moreira;12/03/1908;124.66;1.42
Eloah Caldeira;02/01/1998;41.12;2.07
Ana Julia Rezende;04/08/2012;98.08;1.79
Lorena Ribeiro;15/05/1991;109.34;1.82
Sra. Alana Dias;07/04/1923;76.34;1.64
Vinicius Novaes;19/11/1925;135.08;1.99
Mirella da Paz;07/06/1927;110.25;1.7
Paulo Campos;28/07/1966;84.17;2.05
Gabrielly da Mata;07/04/1923;144.82;1.56
Lav°nia Vieira;18/09/1950;50.17;1.41
Pedro Henrique Campos;18/02/2023;107.98;1.65
Ana Julia Vieira;12/02/1925;108.18;2.06
Srta. Emanuella Rodrigues;17/09/1995;63.44;1.84
Eduarda Peixoto;17/02/1922;144.84;1.59
Maria Luiza Jesus;02/12/1998;88.37;1.92
Bruno Farias;01/05/1962;66.36;1.59
Davi Luiz Cavalcanti;06/06/1972;76.55;1.51
Sra. Bruna Moura;10/09/1990;83.55;1.86
La°s Moraes;25/05/1983;58.29;1.63
Dra. Marcela da Conceiá∆o;26/09/1953;123.91;1.83
Gustavo Henrique Souza;07/04/1964;69.06;1.99
Joana Cardoso;13/07/1920;141.08;1.97
Dra. Isabel Cunha;29/07/1920;102.25;1.77
Jo∆o Gabriel Lima;13/10/2008;55.32;1.86
Heitor Novaes;07/10/1964;65.9;1.94
Cauà Cardoso;28/02/1938;82;1.71
Leonardo da Cruz;20/10/1921;93.38;1.55
Davi Luiz Farias;02/10/1900;76.33;1.65
Alana Pinto;29/12/1997;129.76;1.95
Srta. Camila Viana;06/01/1931;106.33;2.05
Enzo Arag∆o;26/10/1979;43.64;1.95
Dra. Cec°lia Ribeiro;12/01/1975;107.37;2
Mirella Moraes;28/01/1903;137.41;1.97
Maria Sophia Dias;12/11/1968;130.19;1.63
Enzo Cavalcanti;15/04/1911;78.73;1.78
Leonardo Fogaáa;07/12/1934;89.11;1.93
La°s Silveira;28/11/1956;87.14;1.83
Vinicius Sales;22/04/1982;144.95;1.54
Diego Carvalho;29/07/1942;61.97;1.66
Giovanna Lima;21/01/1947;104.26;1.73
Emanuel Souza;09/06/2007;141.18;1.8
Sra. Alexia Costa;25/04/1911;125.19;2.03
Luigi Pinto;04/06/2023;148.61;1.8
Dra. Rafaela Souza;02/10/1952;50.65;1.96
Srta. Sophie Moraes;03/11/2009;48.78;1.83
Guilherme Jesus;16/07/1977;102.98;2.04
Olivia da Rocha;06/05/1900;53.31;1.55
Dra. Maysa Rezende;07/02/1910;146.39;1.96
Melissa Costela;21/08/1933;115.99;1.77
Levi da Conceiá∆o;19/09/1986;113.8;2.02
Alexia da Mota;25/06/1978;142.49;1.55
Marcos Vinicius Correia;03/12/1900;53.39;1.96
La°s Caldeira;28/12/1908;61.77;1.95
Maria Alice Rocha;04/04/1929;131.72;1.41
La°s da Mota;23/11/1947;114.94;1.88
Carolina Silveira;10/01/1921;75.38;1.95
Dra. Maità das Neves;17/01/1994;97.78;1.84
Marcelo Pires;02/02/2020;41.95;1.47
Vinicius Melo;21/05/1963;69.83;1.62
Ana L°via da Rocha;14/07/1949;123.97;1.8
Bruna Cavalcanti;21/10/2016;83.12;1.52
Marcos Vinicius Farias;14/03/1968;108.21;1.91
Sofia Cavalcanti;14/10/2013;89.69;1.89
Vitor Gabriel Gomes;10/11/1909;133.89;2.08
Nathan Mendes;17/02/2017;66.53;1.65
Dra. Brenda Moreira;11/04/1918;56.26;1.75
Ot†vio da Mota;11/06/1967;49.44;1.67
Catarina da Mota;03/10/2010;96.9;1.84
Catarina Moreira;13/05/1915;110.29;1.88
Kaique Mendes;25/08/1961;111.18;1.93
Brenda Rezende;07/03/2017;97.28;1.41
Diego Peixoto;19/05/1988;127.29;1.89
Cec°lia Pires;12/11/1985;149.7;2.06
Nathan Barbosa;11/05/2024;103.45;2.02
Ian Ferreira;05/05/1956;108.84;1.71
Lucas Gabriel Porto;21/11/1909;85.46;1.88
Theo Freitas;22/10/1946;149.93;1.9
Gabriela Martins;23/12/1908;42.81;1.77
Mirella Souza;22/06/2022;101.26;1.65
Leonardo Carvalho;23/03/2015;91.72;1.54
Clarice Vieira;06/07/1954;109.7;1.91
Pedro da Rocha;08/06/2013;136.2;2.08
Camila Ferreira;22/11/1947;106.8;1.69
Murilo Peixoto;16/01/1980;105.16;1.69
Cau∆ Souza;22/06/1991;144.83;1.94
Sra. Fernanda Azevedo;10/09/2023;84.67;1.62
Ana Carolina Ramos;30/11/1941;61.63;1.94
Daniel das Neves;14/03/2010;74.99;1.95
Caroline Fogaáa;22/04/1942;112.05;2.08
Bryan Vieira;03/03/1912;53.74;1.48
Calebe Freitas;30/04/2019;107.04;1.62
Helo°sa Ferreira;07/11/1966;62.25;1.61
Maria Cec°lia Barbosa;03/06/1950;66.57;1.78
Helo°sa Campos;29/01/2011;74.48;1.66
Sra. L°via Moura;10/08/2015;44.2;1.92
Enzo Gabriel da Conceiá∆o;29/04/1925;74.45;2.08
Renan Nunes;06/01/1979;65.04;1.75
Elisa Ara£jo;03/07/1993;78.83;1.43
Emanuelly Silva;08/04/1909;140.64;1.91
Srta. Lorena da Costa;06/02/1994;114.43;1.82
Clara Castro;05/09/1953;88.99;1.72
Lucca Cardoso;11/05/1913;145.83;1.76
Renan Nogueira;05/12/1928;107.64;1.78
Samuel Gomes;16/01/1964;70.04;1.66
Srta. Cec°lia Moura;05/06/1972;111.2;1.48
Yago Dias;14/10/1987;77.49;1.49
Milena Carvalho;28/06/2014;84.1;1.64
Pedro Silva;16/09/1978;70.7;2.08
Nicole Moura;02/10/1905;72.05;1.58
Alice Silveira;16/07/2010;82.69;1.84
Jo∆o Vitor Campos;24/12/1988;81.27;1.62
Luiz Henrique das Neves;26/08/1990;100.34;1.85
Maria Fernanda Lima;02/10/1917;124.08;1.7
Carlos Eduardo Nunes;07/04/1943;81.65;1.56
Breno Sales;15/02/1935;80.28;1.84
Dra. Valentina Castro;13/05/1967;148.51;1.49
Carolina Caldeira;04/11/1980;42.64;1.97
Vitor Fogaáa;06/03/1997;96.41;1.56
Ana J£lia Lopes;16/03/1910;132.77;1.52
Sra. Isis Martins;08/03/2015;85.42;2.05
Sra. Nina Moraes;07/01/2014;125.5;1.9
Daniel da Luz;14/04/1980;124.83;1.65
Luana Duarte;07/08/1902;149.21;1.5
Maysa Pereira;26/10/1982;61.51;1.93
Nicolas Monteiro;03/10/1925;145.53;1.72
Daniel da Rocha;21/04/1934;47.25;1.47
Pedro Silva;06/04/1953;124;1.98
Paulo Caldeira;10/04/1917;149.78;1.95
Catarina Arag∆o;16/07/1930;102.11;1.57
Calebe Gonáalves;13/07/1932;137.34;1.41
Calebe Teixeira;10/04/1923;66.73;1.54
Sra. Lav°nia Duarte;08/06/1955;105.77;1.56
Vinicius Pereira;06/04/2011;41.73;1.8
